Timestamp,Label,Location Name,Power (W),Energy (Wh)
2024-11-28 13:45:17,SMP02,Laboratory 207,0.341,876.071
2024-11-28 13:45:29,SMP02,Laboratory 207,0.341,876.071
2024-11-28 13:45:41,SMP02,Laboratory 207,0.341,876.071
2024-11-28 13:45:53,SMP02,Laboratory 207,0.341,876.071
2024-11-28 13:55:21,SMP02,Laboratory 207,0.355,876.129
2024-11-28 13:55:34,SMP02,Laboratory 207,0.355,876.129
2024-11-28 13:56:16,SMP02,Laboratory 207,0.367,876.135
2024-11-28 13:56:28,SMP02,Laboratory 207,0.367,876.135
2024-11-28 13:56:41,SMP02,Laboratory 207,0.367,876.135
2024-11-28 13:56:53,SMP02,Laboratory 207,0.367,876.135
2024-11-28 13:57:05,SMP02,Laboratory 207,0.372,876.141
2024-11-28 13:57:17,SMP02,Laboratory 207,0.372,876.141
2024-11-28 13:57:29,SMP02,Laboratory 207,0.372,876.141
2024-11-28 13:57:41,SMP02,Laboratory 207,0.372,876.141
2024-11-28 13:57:53,SMP02,Laboratory 207,0.372,876.141
2024-11-28 13:58:05,SMP02,Laboratory 207,0.343,876.147
2024-11-28 13:58:17,SMP02,Laboratory 207,0.343,876.147
2024-11-28 13:58:29,SMP02,Laboratory 207,0.343,876.147
2024-11-28 13:58:41,SMP02,Laboratory 207,0.343,876.147
2024-11-28 13:58:54,SMP02,Laboratory 207,0.343,876.147
2024-11-28 13:59:06,SMP02,Laboratory 207,0.322,876.153
2024-11-28 13:59:18,SMP02,Laboratory 207,0.322,876.153
2024-11-28 13:59:30,SMP02,Laboratory 207,0.322,876.153
2024-11-28 13:59:42,SMP02,Laboratory 207,0.322,876.153
2024-11-28 13:59:54,SMP02,Laboratory 207,0.322,876.153
2024-11-28 14:00:07,SMP02,Laboratory 207,0.329,876.159
2024-11-28 14:00:20,SMP02,Laboratory 207,0.329,876.159
2024-11-28 14:00:32,SMP02,Laboratory 207,0.329,876.159
2024-11-28 14:00:44,SMP02,Laboratory 207,0.329,876.159
2024-11-28 14:00:56,SMP02,Laboratory 207,0.326,876.165
2024-11-28 14:01:08,SMP02,Laboratory 207,0.326,876.165
2024-11-28 14:01:20,SMP02,Laboratory 207,0.326,876.165
2024-11-28 14:01:32,SMP02,Laboratory 207,0.326,876.165
2024-11-28 14:01:44,SMP02,Laboratory 207,0.326,876.165
2024-11-28 14:01:56,SMP02,Laboratory 207,0.348,876.17
2024-11-28 14:02:09,SMP02,Laboratory 207,0.348,876.17
2024-11-28 14:02:21,SMP02,Laboratory 207,0.348,876.17
2024-11-28 14:02:33,SMP02,Laboratory 207,0.348,876.17
2024-11-28 14:02:45,SMP02,Laboratory 207,0.348,876.17
2024-11-28 14:02:57,SMP02,Laboratory 207,0.34,876.176
